Faecher,Klassen,Lehrer,Zeitslots,x
Tandem,4G,Dat,23,1
Ethik,4G,Dat,23,1
Ethik,5G,Pau,30,1
Ethik,6G,Pfe,35,1
Ethik,7G,Kai,21,1
Ethik,9,Hei,19,1
Mittagspause,4G,Dat,25,1
Mittagspause,4G,Kuep,7,1
Mittagspause,4G,Kuep,34,1
Mittagspause,4G,Sta,16,1
Mittagspause,5G,Hah,16,1
Mittagspause,5G,Hah,25,1
Mittagspause,5G,Pau,7,1
Mittagspause,5G,Pau,34,1
Mittagspause,6G,Pfe,7,1
Mittagspause,6G,Pfe,16,1
Mittagspause,6G,Pfe,34,1
Mittagspause,6G,Str,25,1
Mittagspause,7G,Alf,7,1
Mittagspause,7G,Kai,16,1
Mittagspause,7G,Wil,25,1
Mittagspause,7G,Wil,34,1
SportM,5G,Kre,23,1
SportM,6G,Kre,23,1
SportM,7G,Kai,30,1
SportM,9,Ber,3,1
SportW,5G,Pau,17,1
SportW,6G,Pau,17,1
SportW,7G,Kuet,14,1
SportW,9,Kuet,3,1
Tandem,4G,Dat,19,1
Tandem,4G,Sta,3,1
Tandem,4G,Sta,6,1
Tandem,4G,Sta,9,1
Tandem,4G,Sta,10,1
Tandem,4G,Sta,11,1
Tandem,4G,Sta,13,1
Tandem,4G,Sta,15,1
Tandem,4G,Sta,26,1
Tandem,4G,Sta,27,1
Tandem,4G,Sta,35,1
Tandem,4G,Sta,36,1
Tandem,4G,Sta,38,1
Tandem,4G,Wal,12,1
Tandem,5G,Hah,2,1
Tandem,5G,Hah,5,1
Tandem,5G,Hah,15,1
Tandem,5G,Hah,20,1
Tandem,5G,Hah,21,1
Tandem,5G,Hah,22,1
Tandem,5G,Hah,26,1
Tandem,5G,Hah,39,1
Tandem,5G,Hah,40,1
Tandem,5G,Pau,3,1
Tandem,5G,Pau,4,1
Tandem,5G,Pau,14,1
Tandem,5G,Pau,27,1
Tandem,6G,Kre,1,1
Tandem,6G,Kre,2,1
Tandem,6G,Kre,4,1
Tandem,6G,Kre,5,1
Tandem,6G,Kre,11,1
Tandem,6G,Kre,14,1
Tandem,6G,Kre,15,1
Tandem,6G,Kre,17,1
Tandem,6G,Kre,18,1
Tandem,6G,Kre,19,1
Tandem,6G,Kre,20,1
Tandem,6G,Kre,22,1
Tandem,6G,Kre,26,1
Tandem,6G,Kre,27,1
Tandem,6G,Kre,28,1
Tandem,6G,Kre,31,1
Tandem,6G,Kre,32,1
Tandem,6G,Kre,39,1
Tandem,6G,Kre,40,1
Tandem,6G,Str,23,1
Tandem,6G,Str,24,1
Tandem,7G,Alf,1,1
Tandem,7G,Alf,6,1
Tandem,7G,Alf,9,1
Tandem,7G,Alf,27,1
Tandem,7G,Alf,37,1
Tandem,7G,Kai,5,1
Tandem,7G,Kai,8,1
Tandem,7G,Kai,12,1
Tandem,7G,Kai,17,1
Tandem,9,Dat,2,1
Tandem,9,Dat,10,1
Tandem,9,Dat,13,1
Tandem,9,Dat,22,1
Tandem,9,Dat,38,1
Tandem,9,Dat,40,1
